genes,transfer_auc,within_auc
"HTATIP2,CD44,STIP1",0.5769230769230769,0.8692307692307693
"FAM181A,MYO1E,ZBTB20",0.876923076923077,0.8615384615384616
"SCN1B,SLC12A5,LGR6",0.7769230769230769,0.49999999999999994
"TULP3,ZNF826P,MYBPC1",0.6923076923076923,0.7692307692307692
"LRIG3,RFX2,SCRG1",0.7615384615384616,0.4769230769230769
"RBP7,PKIB,PTPN20",0.8692307692307693,0.823076923076923
"CEP78,SDC4,TCEAL7",0.6076923076923076,0.7384615384615385
"RGS6,MBTD1,SYNPR",0.8076923076923077,0.7461538461538462
"EPHA6,MYPOP,CHRM5",0.5384615384615384,0.676923076923077
"COL1A2,OLR1,OSBPL3",0.5,0.9153846153846154
"IFIH1,NSMCE3,GALNT4",0.7307692307692307,0.576923076923077
"PILRA,GAD2,EBP",0.7076923076923077,0.7769230769230769
"FCGBP,TCF7L2,BCL3",0.5923076923076924,0.7000000000000001
"PTPDC1,ZNF441,HES1",0.6692307692307693,0.7153846153846154
"COL6A1,DOCK2,KCNA4",0.823076923076923,0.8153846153846154
"JCAD,NEU1,PSMG4",0.8769230769230769,0.8538461538461538
"CTBS,TMEM128,EFHB",0.8076923076923077,0.8384615384615385
"SPAG1,GRM7,NGFR",0.7,0.5923076923076923
"FNBP1L,IER5,PCDH7",0.6692307692307692,0.4230769230769231
"MCM3AP-AS1,LOXL2,CENPB",0.7692307692307692,0.9384615384615385
"FOXJ1,EAF1,N4BP2L2",0.8923076923076922,0.8538461538461538
"SLC25A27,CENPN,EEF2K",0.4615384615384615,0.7461538461538462
"SERPIND1,LOC729732,ZNF483",0.3615384615384615,0.9538461538461538
"ATP1B2,OSCP1,NEBL",0.20769230769230768,0.8538461538461538
"MAU2,KCNIP4,SAMD3",0.7461538461538462,0.43846153846153846
"KCNA1,C12orf76,VDAC1",0.9230769230769231,0.8692307692307691
"PSMC6,DDX60,GABRB3",0.7846153846153846,0.7230769230769231
"NNAT,NEK3,HOPX",0.7307692307692307,0.9076923076923076
"KIF3A,GAD1,UCHL1",0.976923076923077,0.9538461538461538
"ACTN1,GPLD1,NDRG4",0.9923076923076923,0.9692307692307693
"CSGALNACT1,UBE2S,KCTD16",0.6,0.7230769230769231
"CMPK2,CAMK4,NNMT",0.8769230769230769,0.8538461538461538
"HAVCR2,GDAP1,AGAP2",0.85,0.7615384615384616
"KLC2,CFAP300,CH25H",0.13076923076923075,0.8384615384615385
"NADK2,POU2AF1,SYNGR2",0.9769230769230769,0.9769230769230769
"OMD,ITGB1,RASSF8-AS1",0.33076923076923076,0.7461538461538462
"ITPKB,SLC6A12,FERMT2",0.3538461538461538,0.7153846153846154
"YAP1,HHEX,FRAT2",0.4461538461538461,0.2615384615384615
"TTN,B4GALNT1,BTG4",0.7384615384615385,0.6153846153846154
"TP53,TCEAL7,CNTN2",0.846153846153846,0.8153846153846154
"ZNF503,PRKCG,ARHGAP29",0.5846153846153846,0.9615384615384616
"FRAS1,FNDC10,NR2F2",0.5076923076923077,0.6692307692307692
"PLXDC2,WFS1,CGREF1",0.7923076923076924,1.0
"FN1,WSCD2,ARHGEF3",0.7769230769230769,0.7076923076923077
"CHRM1,EPHB6,CFAP96",0.8153846153846154,0.8615384615384616
"ACTN2,SLC7A4,EMP3",0.6076923076923076,0.7153846153846154
"SLC39A14,MAP3K6,CDK18",0.8846153846153847,0.8461538461538463
"SUSD1,CARD16,PLK2",0.9076923076923078,0.9
"CITED1,BLTP3B,MT1F",0.7461538461538462,0.5846153846153845
"KCTD3,ABRACL,DMTN",0.4846153846153846,0.6076923076923078
"MAG,MBNL2,RNF182",0.5,0.8
"SKIC8,RBP1,TLR1",0.9076923076923078,0.9153846153846154
"KCNH7,RNF208,LMO7",0.12307692307692306,0.7538461538461539
"PPP1R13B,EFCAB12,SPP1",0.4692307692307692,0.45
"SYNGR1,PPARGC1A,THSD4",0.8769230769230769,0.8846153846153846
"GFPT1,TOGARAM2,SLCO1B3",0.8153846153846154,0.9384615384615385
"MICU3,CCND1,HMGCLL1",0.4461538461538462,0.7076923076923077
"ERV3-2,ATP6V0E1,TMEM45A",0.7692307692307692,0.43076923076923074
"RELL2,CD200,PCDHB5",0.5769230769230769,0.8615384615384616
"RSPH9,AGBL2,RALGDS",0.5307692307692308,0.4
"FOXC1,POU3F3,MERTK",0.5230769230769231,0.5
"KLF10,IFRD1,GKAP1",0.4846153846153846,0.36923076923076925
"PTPRK,MTCL1,UNC80",0.8615384615384616,0.9923076923076923
"LINC00622,CDC27,VEZF1",0.3692307692307692,0.7153846153846154
"ADORA3,SEC61A2,PTAFR",0.8923076923076922,0.8769230769230769
"ATP2B2,S1PR5,RNF135",0.8153846153846154,0.8461538461538461
"CLCN4,ITGA2,SEMA4A",0.9153846153846154,0.8692307692307693
"MSANTD1,MAP6D1,SLC7A5",0.5769230769230769,0.8461538461538461
"VWF,A2M-AS1,ADGRA1",0.5692307692307692,0.7000000000000001
"RND2,HCLS1,NKX1-2",0.7461538461538462,0.6461538461538462
"LOC389834,STUM,SNX32",0.4461538461538461,0.24615384615384617
"DACH2,ZFHX4,MOAP1",0.823076923076923,0.7923076923076923
"CHMP2B,SHISA9,DCK",0.3615384615384615,0.7846153846153846
"IQSEC2,DACH2,THAP9-AS1",0.7,0.8153846153846154
"SGIP1,ZNF404,POU6F1",0.8153846153846154,0.7923076923076924
"RYR3,NDFIP2,ITM2C",0.29230769230769227,0.9230769230769231
"MARK4,NRIP3,ETV5",0.7769230769230768,0.8692307692307693
"PER2,AMPD3,RYR1",0.5923076923076923,0.6
"H1-2,CDH12,DIAPH2-AS1",0.7307692307692308,0.34615384615384615
"PRCP,RAB3C,C21orf62",0.8307692307692307,0.7076923076923077
"CARD16,DOK7,LOC729218",0.4269230769230769,0.8153846153846154
"POP4,ENTPD4,SAMD9L",0.7846153846153846,0.9000000000000001
"CENPW,RRN3P2,GNG11",0.8615384615384616,0.8538461538461538
"PHEX,RCSD1,LINC01088",0.8,0.6923076923076923
"NUDT12,DPY19L2P2,CDH12",0.6076923076923078,0.34615384615384615
"KCTD12,CPAMD8,TREM2",0.7384615384615384,0.5076923076923078
"CTSG,CARD16,SLC6A9",0.5,0.7384615384615385
"FAIM,SLC35B3,EIF5A2",0.7153846153846154,0.8923076923076924
"RNF41,ASTN1,SERINC5",0.8846153846153846,0.8769230769230769
"SCN3A,SPAG17,CRYBB2",0.4538461538461538,0.5
"GLIPR1,CLHC1,ERAP2",0.5,0.4153846153846154
