iteration,AUC,AP,best_C,n_selected,selected_genes
75,0.5,0.38333333333333336,1.0,26,SLC17A6;HLA-DRA;HLA-DPA1;ABCA6;CUTALP;SSTR1;ANGPT1;PKIB;TNFRSF11B;LOC389906;TRIM22;OVOS2;CYTL1;MAOB;HSFY1;MET;TAB2;HMBOX1;COCH;EAF1;PLA2G7;LOXL2;ZNF727;CD84;LOC101927967;PPP1R37
76,0.9523809523809524,0.9166666666666665,1.0,26,SLC17A6;SV2C;ARHGAP36;GRP;SLC16A6;ABCA6;EFEMP1;CRLF1;TNFRSF11B;VSTM2A-OT1;INSM1;N4BP2;HERC2P7;PLA2G7;PMS2P2;ITPR2;LOXL2;GRHL1;ADGRD1;EPB41L4A;KCNJ8;PANK1;BTN3A3;CYP39A1;DOK7;DHCR7
77,0.8571428571428572,0.6388888888888888,0.5,19,PTGER3;ABCA6;CUTALP;TNFRSF11B;HLA-DPB1;MIR570HG;MAOB;MEST;IL1RL1;WBP2NL;TAB2;RGMA;PLA2G7;PCDHB4;PMS2P2;DIAPH3;LOC284412;ISG15;RPS6KA5
78,0.9523809523809524,0.9166666666666665,0.5,21,SLC17A6;NEFH;ARHGAP36;CKS2;EFEMP1;CRLF1;TNFRSF11B;MAOB;PCOLCE2;HSFY1;KCTD4;N4BP2;MIR29B2CHG;SORBS1;LOC100240735;PMS2P2;ITPR2;UST;PARP14;KCNJ8;PANK1
79,0.5714285714285714,0.4027777777777778,1.0,28,MTHFD2;SMIM43;ABCA6;PWWP3B;CRLF1;TMEM45A;TNFRSF6B;MAP3K2-DT;SERPINI2;TMEM100;CLUL1;N4BP2;VAMP1;ZSCAN31;SORBS1;FAM241A;TFRC;RGMA;ZSWIM7;PMS2P2;BDNF-AS;SDHAF4;LOXL2;GRHL1;EXOC8;EMILIN2;PIK3R3;ITSN1
80,0.6111111111111112,0.6095238095238096,1.0,31,KDM5D;SLC17A6;PDYN;TSIX;PWWP3B;CALB2;CRLF1;TNFRSF11B;CD99;CNGA3;LOC105379426;TET3;SYNC;PCOLCE2;TBC1D7;N4BP2;MIR29B2CHG;NLK;HMBOX1;PLA2G7;HES4;ITPR2;LOXL2;LDLRAD3;MEG8;ZNF117;LOC101927967;PANK1;LOC729218;FLI1;SPIN4
81,0.5238095238095237,0.36944444444444446,0.2,9,SSTR1;PWWP3B;ELAVL2;TNFRSF11B;CNTNAP2;SORBS1;PCDHB4;ITPR2;SAMSN1
82,0.7142857142857143,0.5317460317460317,1.0,35,DDX3Y;RPS4Y1;KDM5D;NEFH;EFEMP1;LOC100505874;CRLF1;MAN2A1;MCHR1;F13A1;UEVLD;FOLR1;MYO5C;PCOLCE2;HSFY1;INPP5F;TMEM100;MET;SNCG;N4BP2;NBR2;MIR29B2CHG;SORBS1;LOC100240735;LOC105369477;MROCKI;RASEF;PLA2G7;PMS2P2;ITPR2;LRFN3;PHOSPHO2;PARP14;CDKN2AIPNL;ABCG4
83,0.9523809523809524,0.9166666666666665,1.0,29,SV2C;ARHGAP36;VEGFA;EFEMP1;SSTR1;CRLF1;ELAVL2;TNFRSF11B;TMEM45A;SLC2A3;MAOB;CLUL1;N4BP2;MIR29B2CHG;SORBS1;IL17D;RGMA;PLA2G7;PMS2P2;DIAPH3;LOXL2;GRHL1;KCNK9;EPB41L4A;ISG15;BTN3A3;FAM13A;SPIN4;DHCR7
84,0.7142857142857143,0.4777777777777778,0.5,26,PTGER3;SMIM43;ABCA6;TH;ANGPT1;PKIB;TNFRSF11B;TMEM45A;NRXN3;RIPOR3;SYNC;TRIM13;ADAMTS3;KCTD4;N4BP2;TAB2;SORBS1;PLA2G7;LPAR4;ITPR2;GRHL1;LGALS1;CAPN2;DDHD1;LOC729218;SPIN4
85,0.8333333333333333,0.8333333333333333,0.5,22,PTGER3;ABCA6;SSTR1;CALB2;CRLF1;GCH1;TNFRSF11B;MAOB;WBP2NL;TAB2;FGD6;SYTL1;PCDHB4;PMS2P2;EIF3C;NABP1;DIAPH3;LOXL2;WDR4;PANK1;RBM48;MESP1
86,0.6190476190476191,0.5916666666666666,1.0,29,SV2C;ARHGAP36;WIF1;GRP;EFEMP1;IFI44L;TNFRSF11B;ENOSF1;VSTM2A-OT1;SYNC;TMEM100;ADAMTS3;N4BP2;MIR29B2CHG;MCF2;SORBS1;LOC100240735;SNHG17;TP53INP1;FGD6;PLA2G7;HES4;HEY2;ITPR2;RELL2;ADGRD1;CLEC4GP1;BTN3A3;FGFR1
87,0.28571428571428575,0.2777777777777778,1.0,25,SV2C;KISS1R;ABCA6;CNTN4;CALB2;CRLF1;ELAVL2;TNFRSF11B;HS3ST4;SYNC;SERPINI2;TRIM13;MET;TAB2;RGS12;PMS2P2;ITPR2;CDHR1;KRTAP5-AS1;DIAPH3;EMCN;CSGALNACT1;PANK1;KAZN;ANKRD30BP2
88,0.9047619047619048,0.8666666666666667,0.2,10,MAOB;MEST;UBE2S;SORBS1;TUBB4A;PCDHB4;PMS2P2;DIAPH3;DPYSL4;PANK1
89,0.8095238095238095,0.5888888888888889,1.0,25,ABCA6;PKIB;TMEM158;TNFRSF11B;CA10;RIPOR3;PCOLCE2;TMEM100;TRIM13;MET;KCTD4;N4BP2;SLC6A12;SORBS1;HIGD1B;COBL;COCH;PLA2G7;ITPR2;DNAJC6;LGALS1;LOC101927967;LOC729218;CASC3;SPIN4
90,1.0,1.0,0.2,13,ZBBX;CRLF1;MCHR1;BCAT1;ADARB1;INPP5F;TAB2;SORBS1;PMS2P2;EXOC8;DPYSL4;PANK1;CDKN2AIPNL
91,0.9047619047619048,0.8666666666666667,0.5,18,ARHGAP36;EFEMP1;VGLL3;ELAVL2;TNFRSF11B;CA10;SYNC;PCOLCE2;OSR1;N4BP2;TAB2;PLA2G7;HES4;PMS2P2;DIAPH3;PAQR5;KCNJ8;DOK7
92,0.9523809523809524,0.9166666666666665,0.2,5,ABCA6;CRLF1;TAB2;SORBS1;GRHL1
